playerID,BatG,BatAB,BatR,BatH,Bat2B,Bat3B,BatHR,BatRBI,BatSB,BatCS,BatBB,BatSO,BatIBB,BatHBP,BatSH,BatSF,BatGIDP,FieldG,FieldGS,FieldInnOuts,FieldPO,FieldA,FieldE,FieldDP,FieldPB,FieldWP,FieldSB,FieldCS,FieldZR,PitchW,PitchL,PitchG,PitchGS,PitchCG,PitchSHO,PitchSV,PitchIPouts,PitchH,PitchER,PitchHR,PitchBB,PitchSO,PitchBAOpp,PitchERA,PitchIBB,PitchWP,PitchHBP,PitchBK,PitchBFP,PitchGF,PitchR,PitchSH,PitchSF,PitchGIDP,allStarCount,AllStar_MVP,Babe_Ruth_Award,Cy_Young_Award,Gold_Glove_Award,DH_Award,Pitching_Crown,Relief_Award,ROY_Award,Silver_Slugger,Batting_Crown,World_Series_MVP,AL_MVP,NL_MVP,inducted
woodwi01,651,322,11,27,2,0,0,13,1,0,20,189,0,1,38,0,7,651,297,8053,84,523,14,26,0,0,0,0,0,164,156,651,297,114,24,57,8052,2582,965,209,724,1411,4.660000000000001,75.24,71,72,63,6,11154,198,1130,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worreto01,617,27,1,2,0,1,0,0,0,0,1,20,0,0,2,0,1,621,0,2086,30,82,4,9,0,0,0,0,0,50,52,617,0,0,0,256,2081,608,238,65,247,628,2.5199999999999996,36.39,67,23,7,7,2893,456,264,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0
wrighge01,591,2875,665,867,126,61,11,330,41,16,67,119,0,0,0,0,0,595,0,0,901,2092,449,198,0,0,0,0,0,0,1,3,0,0,0,0,15,6,1,0,0,12,0.25,2.25,0,1,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wrighgl01,1119,4153,584,1219,203,76,94,723,38,13,209,407,0,5,113,0,9,1074,0,0,2240,3504,357,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wrighha01,180,816,183,222,24,9,4,111,9,2,36,12,0,0,0,0,0,215,0,0,234,50,54,9,0,0,0,0,0,4,4,34,7,0,0,8,298,149,42,0,15,16,0,15.3,0,0,0,1,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wyattwh01,366,607,53,133,26,2,7,69,0,0,26,111,0,2,34,0,20,360,0,0,74,316,18,15,0,0,0,0,0,106,95,360,210,97,17,13,5283,1684,741,98,642,872,4.57,77.19,0,24,33,2,7521,101,860,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wynnea01,796,1704,136,365,59,5,17,173,1,0,141,330,0,2,52,4,33,691,291,6322,193,670,29,47,0,0,0,0,0,300,244,691,612,290,49,15,13692,4291,1796,338,1775,2334,5.7,82.13,36,51,64,2,19408,66,2037,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1
wynnji01,1920,6653,1105,1665,285,39,291,964,225,101,1224,1427,84,27,32,74,117,1833,1780,47437,3937,167,84,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yastrca01,3308,11988,1816,3419,646,59,452,1844,168,116,1845,1393,190,40,13,105,323,2874,2824,73861,10437,775,135,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,7,0,0,0,0,0,1,0,1,0,1
yawketo99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
yeagest01,1269,3584,357,816,118,16,102,410,14,18,342,726,64,27,33,28,93,1230,1051,28274,6110,674,88,75,78,213,595,364,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
yerkest02,711,2521,307,676,124,32,6,254,54,6,207,102,0,16,115,0,0,696,0,0,1353,1884,170,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yorkru01,1603,5891,876,1621,291,52,277,1152,38,26,792,867,0,12,25,0,155,1557,0,0,12308,1167,155,1098,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
youngcy01,918,2960,325,623,87,35,18,290,29,0,81,150,0,10,50,0,0,911,0,0,251,2015,148,41,0,0,0,0,0,511,316,906,815,749,76,17,22064,7092,2147,138,1217,2803,5.719999999999999,62.42,0,156,163,3,30058,84,3167,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
younger01,1730,6119,996,1731,327,46,79,543,465,168,660,462,14,89,84,44,135,1557,1462,38069,3025,3617,160,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
youngpe01,730,2466,274,645,128,34,32,347,18,0,152,312,0,12,38,0,51,670,0,0,1503,1984,140,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
youngro01,1211,4627,812,1491,236,93,42,592,153,83,550,390,0,37,119,0,0,1211,0,0,2171,207,120,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
yountro01,2856,11008,1632,3142,583,126,251,1406,271,105,966,1350,95,48,104,123,217,2709,2684,70565,5855,4850,305,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,2,0,1
