playerID,daysActive,BatG,BatBA,BatHR,FieldG,FieldPercent,PitchW,PitchL,PitchKBB,allStarCount,Cy_Young_Award,Gold_Glove_Award,Silver_Slugger,MVP,avgSalary,inducted
pinelba01,3240,774,0.276271,0.625,757,0.93208,0,0,0,0,0,0,0,0,0,0
pinielo01,7225,1747,0.290608,5.66667,1404,0.985385,0,0,0,1,0,0,0,0,0,1
pinkhed01,133,24,0.263158,1,29,0.7482,1,0,0,0,0,0,0,0,0,0
pinknge01,3331,1163,0.262907,2.1,1165,0.839481,0,0,0,0,0,0,0,0,0,0
pinnaed01,15,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0
pinoyo01,365,18,0,0,18,0.66665,2,7,3.95235,0,0,0,0,0,0,0
pinsova01,6375,2469,0.285848,14.2222,2419,0.986348,0,0,0,4,0,1,0,0,0,1
pintojo01,1127,84,0.252,3.66667,45,0.9781,0,0,0,0,0,0,0,0,500000,0
pintole01,836,12,0.1,0,12,0.85715,0,1,0.14285,0,0,0,0,0,0,0
pintore01,1490,244,0,0,244,0.94924,8,10,1.51718,0,0,0,0,0,562625,0
pipgred01,31,5,0,0,5,1,0,1,0.8333,0,0,0,0,0,0,0
pipgrge01,4376,276,0.163265,0.166667,276,0.955475,102,73,0.925775,0,0,0,0,0,0,0
pippeco01,1362,38,0.111111,0,38,0.980275,5,16,0.889575,0,0,0,0,0,0,0
pippwa01,5572,1872,0.280735,6,1819,0.99054,0,0,0,0,0,0,0,0,0,1
pireljo01,606,59,0.226277,0.333333,47,0.76642,0,0,0,0,0,0,0,0,510000,0
pirieji01,4,5,0.157895,0,5,0.5769,0,0,0,0,0,0,0,0,0,0
pirklgr01,1099,45,0.224138,1.6,20,0.9957,0,0,0,0,0,0,0,0,110167,0
pirtlge01,67,19,0,0,19,0.8571,0,2,0.6087,0,0,0,0,0,0,0
piscima01,737,75,0.25,0,75,0.8889,4,5,0.860433,0,0,0,0,0,165000,0
piscost01,439,216,0.282209,14.5,223,0.9899,0,0,0,0,0,0,0,0,512500,0
pisonji01,2564,103,0.21164,1,98,0.972217,0,0,0,0,0,0,0,0,0,0
pitkoal01,375,11,0.259259,0,10,0.94445,0,0,0,0,0,0,0,0,0,0
pitleja01,359,111,0.232376,0,110,0.8774,0,0,0,0,0,0,0,0,0,0
pitlosk01,1763,59,0.08,0.333333,59,0.5965,8,8,0.801033,0,0,0,0,0,0,0
pittach01,909,53,0.221053,0,46,0.95662,0,0,0,0,0,0,0,0,0,0
pittipi01,3082,373,0.262774,0.142857,311,0.888155,0,0,0,0,0,0,0,0,0,0
pittito01,2638,262,0.123656,0.125,262,0.93165,115,113,1.09681,0,0,0,0,0,0,0
pittmjo01,1131,139,0.263158,0,99,0.8661,0,0,0,0,0,0,0,0,0,0
pittsga01,501,28,0.25,0,27,0.943183,0,0,0,0,0,0,0,0,0,0
pittsji01,1517,81,0.2,0,81,0.73744,7,12,0.78378,0,0,0,0,0,178500,0
pitulst01,143,24,0.2,0,23,1,2,2,0.5313,0,0,0,0,0,0,0
pitzhe01,177,90,0.165493,0,91,0.7794,0,0,0,0,0,0,0,0,0,0
pizarju01,6354,496,0.202128,0.363636,488,0.9519,131,105,1.55384,2,0,0,0,0,0,1
pladsgo01,956,20,0,0,20,0.214275,0,4,0.703125,0,0,0,0,0,0,0
